Brand,Марка
"Add New Brand","Нова марка"
"Save Brand","Зпази"
Delete,Изтриване
"Close Window","Close Window"
"Save and Continue Edit","Save and Continue Edit"
"Save and Close","Save and Close"
"Brand Information","Информация за марката"
Title,Заглавие
"URL key","URL key"
"Brand Logo","Brand Logo"
Description,Описание
"Store View","Store View"
Status,Status
"Edit Brand '%1'","Edit Brand '%1'"
"New Brand","New Brand"
"General Information","General Information"
ID,ID
Name,Име
SKU,SKU
Visibility,Visibility
Websites,Websites
Position,Position
"Related Products","Свързани продукти"
Image,Image
Order,Order
Edit,Edit
CSV,CSV
XML,XML
Excel,Excel
"Are you sure?","Are you sure?"
"Change status","Change status"
"%1 > %2 :","%1 > %2 :"
"System > Stores > Configuration > Magiccart > Shop Brand","System > Stores > Configuration > Magiccart > Shop Brand"
Home,Начало
"Go to Home Page","Go to Home Page"
"Delete successfully !","Delete successfully !"
"This Brand no longer exists.","This Brand no longer exists."
"Please select shopbrand(s).","Please select shopbrand(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Please select Brand(s).","Please select Brand(s)."
"A total of %1 record(s) have been changed status.","A total of %1 record(s) have been changed status."
"The Brand menu has been saved.","The Brand menu has been saved."
"Something went wrong while saving the shopbrand.","Something went wrong while saving the shopbrand."
"Default layout","Default layout"
"1 Column","1 Column"
"2 Columns with Left Sidebar","2 Columns with Left Sidebar"
"2 Columns with Right Sidebar","2 Columns with Right Sidebar"
"3 Columns","3 Columns"
Enabled,Enabled
Disabled,Disabled
"Choose brand attribute","Choose brand attribute"
"1 item(s) /row","1 item(s) /row"
"2 item(s) /row","2 item(s) /row"
"3 item(s) /row","3 item(s) /row"
"4 item(s) /row","4 item(s) /row"
"5 item(s) /row","5 item(s) /row"
"6 item(s) /row","6 item(s) /row"
"7 item(s) /row","7 item(s) /row"
"8 item(s) /row","8 item(s) /row"
"Shop By Brand Url","Shop By Brand Url"
"Quick Search Results","Quick Search Results"
"Advanced Search Results","Advanced Search Results"
"Custom Extra Link","Custom Extra Link"
"1 row(s) without warp /slider","1 row(s) without warp /slider"
"1 row(s) /slider","1 row(s) /slider"
"2 row(s) /slider","2 row(s) /slider"
"3 row(s) /slider","3 row(s) /slider"
"4 row(s) /slider","4 row(s) /slider"
"5 row(s) /slider","5 row(s) /slider"
True,True
False,False
No,Не
Yes,Да
"Search brand","Търсене на марка"
"Search a brand","Търсене на марка"
Search,Търсене
"We can't find brands matching the selection","Няма открити марки"
0-9,0-9
"View all","View all"
All,Всички
"We can't find products matching the selection.","Няма открити марки."
"Add to Cart","Купи"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Shop By Brand","Пазаруване по марка"
"Shop Brand Options","Shop Brand Options"
"Filter by brand","Филтриране"
Magiccart,Magiccart
"Shop Brand","Shop Brand"
General,General
"Enabled frontend","Enabled frontend"
"Router name","Router name"
"Url Suffix","Url Suffix"
"Leave empty for no suffix. Default: .html","Leave empty for no suffix. Default: .html"
"Add Brand Link to Top Menu","Add Brand Link to Top Menu"
"Attribute Brand:","Attribute Brand:"
"Brand attribute code","Brand attribute code"
"Link Brand:","Link Brand:"
"Link Brand","Link Brand"
"Setting Slide (For Widget)","Setting Slide (For Widget)"
Slide,Slide
"Enabled Slide","Enabled Slide"
"Slide Vertical","Slide Vertical"
"Mode Vertical","Mode Vertical"
Infinite,Infinite
"Auto Play","Auto Play"
Arrows,Arrows
Next/Back,Next/Back
Dots,Dots
Pager,Pager
Rows,Rows
"Row Item","Row Item"
Speed,Speed
"autoplay Speed","autoplay Speed"
Padding,Padding
"Padding item Brand","Padding item Brand"
"Setting Responsive (For Widget)","Setting Responsive (For Widget)"
"max-width 360:","max-width 360:"
"Number product show in screen ( Size <= 360 )","Number product show in screen ( Size <= 360 )"
"max-width 480:","max-width 480:"
"Number product show in screen ( 360 < Size < 480 )","Number product show in screen ( 360 < Size < 480 )"
"max-width 640:","max-width 640:"
"Number product show in screen ( 480 <= Size < 640 )","Number product show in screen ( 480 <= Size < 640 )"
"max-width 768:","max-width 768:"
"Number product show in screen ( 640 <= Size < 768 )","Number product show in screen ( 640 <= Size < 768 )"
"max-width 991:","max-width 991:"
"Number product show in screen ( 768 <= Size < 992 )","Number product show in screen ( 768 <= Size < 992 )"
"max-width 1199:","max-width 1199:"
"Number product show in screen ( 992 <= Size < 1200 )","Number product show in screen ( 992 <= Size < 1200 )"
"max-width 1479:","max-width 1479:"
"Number product show in screen ( 1200 <= Size < 1480 )","Number product show in screen ( 1200 <= Size < 1480 )"
"max-width 1919:","max-width 1919:"
"Number product show in screen ( 1366 <= Size < 1920 )","Number product show in screen ( 1366 <= Size < 1920 )"
"min-width 1920:","min-width 1920:"
"Number product show in screen ( Size >= 1920 )","Number product show in screen ( Size >= 1920 )"
"Brand List Page Settings","Brand List Page Settings"
"Show Product Count","Show Product Count"
"Display the product number next to the Brand name.","Display the product number next to the Brand name."
"Setting Slide","Setting Slide"
"Setting Responsive","Setting Responsive"
"Brand Detail Page Settings","Brand Detail Page Settings"
"Sidebar Shop by brand","Sidebar Shop by brand"
"Enabled Shop by brand in Sidebar","Enabled Shop by brand in Sidebar"
"Product Detail Page Settings","Product Detail Page Settings"
"Show Logo on Product Page","Show Logo on Product Page"
"Show Logo on Product Detail Page","Show Logo on Product Detail Page"
"Shopbrand tab Products Config","Shopbrand tab Products Config"
"Padding item Product","Padding item Product"
"Brand Logo Widget","Brand Logo Widget"
Template,Template
Default,Default
"Shop Brand Widget","Shop Brand Widget"
Brands,Марки
